"Population, total",SP.POP.TOTL,Afghanistan,AFG,34656032
"Population, total",SP.POP.TOTL,Albania,ALB,2876101
"Population, total",SP.POP.TOTL,Algeria,DZA,40606052
"Population, total",SP.POP.TOTL,American Samoa,ASM,55599
"Population, total",SP.POP.TOTL,Andorra,AND,77281
"Population, total",SP.POP.TOTL,Angola,AGO,28813463
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,100963
"Population, total",SP.POP.TOTL,Argentina,ARG,43847430
"Population, total",SP.POP.TOTL,Armenia,ARM,2924816
"Population, total",SP.POP.TOTL,Aruba,ABW,104822
"Population, total",SP.POP.TOTL,Australia,AUS,24127159
"Population, total",SP.POP.TOTL,Austria,AUT,8747358
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9762274
"Population, total",SP.POP.TOTL,Bahamas,BHS,391232
"Population, total",SP.POP.TOTL,Bahrain,BHR,1425171
"Population, total",SP.POP.TOTL,Bangladesh,BGD,162951560
"Population, total",SP.POP.TOTL,Barbados,BRB,284996
"Population, total",SP.POP.TOTL,Belarus,BLR,9507120
"Population, total",SP.POP.TOTL,Belgium,BEL,11348159
"Population, total",SP.POP.TOTL,Belize,BLZ,366954
"Population, total",SP.POP.TOTL,Benin,BEN,10872298
"Population, total",SP.POP.TOTL,Bermuda,BMU,65331
"Population, total",SP.POP.TOTL,Bhutan,BTN,797765
"Population, total",SP.POP.TOTL,Bolivia,BOL,10887882
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3516816
"Population, total",SP.POP.TOTL,Botswana,BWA,2250260
"Population, total",SP.POP.TOTL,Brazil,BRA,207652865
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,30661
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,423196
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7127822
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,18646433
"Population, total",SP.POP.TOTL,Burundi,BDI,10524117
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,539560
"Population, total",SP.POP.TOTL,Cambodia,KHM,15762370
"Population, total",SP.POP.TOTL,Cameroon,CMR,23439189
"Population, total",SP.POP.TOTL,Canada,CAN,36286425
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,60765
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4594621
"Population, total",SP.POP.TOTL,Chad,TCD,14452543
"Population, total",SP.POP.TOTL,Channel Islands,CHI,164541
"Population, total",SP.POP.TOTL,Chile,CHL,17909754
"Population, total",SP.POP.TOTL,China,CHN,1378665000
"Population, total",SP.POP.TOTL,Colombia,COL,48653419
"Population, total",SP.POP.TOTL,Comoros,COM,795601
"Population, total",SP.POP.TOTL,Congo Dem.,Rep.,COD,78736153
"Population, total",SP.POP.TOTL,Congo Rep.,COG,5125821
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4857274
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,23695919
"Population, total",SP.POP.TOTL,Croatia,HRV,4170600
"Population, total",SP.POP.TOTL,Cuba,CUB,11475982
"Population, total",SP.POP.TOTL,Curacao,CUW,159999
"Population, total",SP.POP.TOTL,Cyprus,CYP,1170125
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10561633
"Population, total",SP.POP.TOTL,Denmark,DNK,5731118
"Population, total",SP.POP.TOTL,Djibouti,DJI,942333
"Population, total",SP.POP.TOTL,Dominica,DMA,73543
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10648791
"Population, total",SP.POP.TOTL,Ecuador,ECU,16385068
"Population, total",SP.POP.TOTL,Egypt,EGY,95688681
"Population, total",SP.POP.TOTL,El Salvador,SLV,6344722
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1221490
"Population, total",SP.POP.TOTL,Eritrea,ERI,(unknown)
"Population, total",SP.POP.TOTL,Estonia,EST,1316481
"Population, total",SP.POP.TOTL,Ethiopia,ETH,102403196
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,49117
"Population, total",SP.POP.TOTL,Fiji,FJI,898760
"Population, total",SP.POP.TOTL,Finland,FIN,5495096
"Population, total",SP.POP.TOTL,France,FRA,66896109
"Population, total",SP.POP.TOTL,French Polynesia,PYF,280208
"Population, total",SP.POP.TOTL,Gabon,GAB,1979786
"Population, total",SP.POP.TOTL,Gambia,GMB,2038501
"Population, total",SP.POP.TOTL,Georgia,GEO,3719300
